,batch number,boards in current batch,wear,base thickness
0,0,0,0.0,101.76405234596767
1,0,1,0.001,101.76305234596767
2,0,2,0.002,101.76205234596767
3,0,3,0.003,101.76105234596767
4,0,4,0.004,101.76005234596767
5,0,5,0.005,101.75905234596767
6,0,6,0.006,101.75805234596767
7,0,7,0.007,101.75705234596767
8,0,8,0.008,101.75605234596767
9,0,9,0.009000000000000001,101.75505234596767
10,0,10,0.01,101.75405234596766
11,0,11,0.011,101.75305234596767
12,0,12,0.012,101.75205234596767
13,0,13,0.013000000000000001,101.75105234596766
14,0,14,0.014,101.75005234596767
15,0,15,0.015,101.74905234596767
16,0,16,0.016,101.74805234596766
17,0,17,0.017,101.74705234596767
18,0,18,0.018000000000000002,101.74605234596767
19,0,19,0.019,101.74505234596766
20,0,20,0.02,101.74405234596767
21,0,21,0.021,101.74305234596767
22,0,22,0.022,101.74205234596766
23,0,23,0.023,101.74105234596767
24,0,24,0.024,101.74005234596767
25,0,25,0.025,101.73905234596766
26,0,26,0.026000000000000002,101.73805234596767
27,0,27,0.027,101.73705234596767
28,0,28,0.028,101.73605234596766
29,0,29,0.029,101.73505234596767
30,0,30,0.03,101.73405234596767
31,0,31,0.031,101.73305234596766
32,0,32,0.032,101.73205234596767
33,0,33,0.033,101.73105234596767
34,0,34,0.034,101.73005234596766
35,0,35,0.035,101.72905234596767
36,0,36,0.036000000000000004,101.72805234596767
37,0,37,0.037,101.72705234596766
38,0,38,0.038,101.72605234596767
39,0,39,0.039,101.72505234596767
40,0,40,0.04,101.72405234596766
41,0,41,0.041,101.72305234596767
42,0,42,0.042,101.72205234596767
43,0,43,0.043000000000000003,101.72105234596766
44,0,44,0.044,101.72005234596767
45,0,45,0.045,101.71905234596767
46,0,46,0.046,101.71805234596766
47,0,47,0.047,101.71705234596767
48,0,48,0.048,101.71605234596767
49,0,49,0.049,101.71505234596766
50,0,50,0.05,101.71405234596767
51,0,51,0.051000000000000004,101.71305234596767
52,0,52,0.052000000000000005,101.71205234596766
53,0,53,0.053,101.71105234596767
54,0,54,0.054,101.71005234596767
55,0,55,0.055,101.70905234596766
56,0,56,0.056,101.70805234596767
57,0,57,0.057,101.70705234596767
58,0,58,0.058,101.70605234596766
59,0,59,0.059000000000000004,101.70505234596767
60,0,60,0.06,101.70405234596767
61,0,61,0.061,101.70305234596766
62,0,62,0.062,101.70205234596767
63,0,63,0.063,101.70105234596767
64,0,64,0.064,101.70005234596768
65,0,65,0.065,101.69905234596767
66,0,66,0.066,101.69805234596767
67,0,67,0.067,101.69705234596768
68,0,68,0.068,101.69605234596767
69,0,69,0.069,101.69505234596767
70,0,70,0.07,101.69405234596768
71,0,71,0.07100000000000001,101.69305234596767
72,0,72,0.07200000000000001,101.69205234596767
73,0,73,0.073,101.69105234596768
74,0,74,0.074,101.69005234596767
75,0,75,0.075,101.68905234596767
76,0,76,0.076,101.68805234596768
77,0,77,0.077,101.68705234596767
78,0,78,0.078,101.68605234596767
79,0,79,0.079,101.68505234596768
80,0,80,0.08,101.68405234596767
81,0,81,0.081,101.68305234596767
82,0,82,0.082,101.68205234596768
83,0,83,0.083,101.68105234596767
84,0,84,0.084,101.68005234596767
85,0,85,0.085,101.67905234596768
86,0,86,0.08600000000000001,101.67805234596767
87,0,87,0.08700000000000001,101.67705234596767
88,0,88,0.088,101.67605234596768
89,0,89,0.089,101.67505234596767
90,0,90,0.09,101.67405234596767
91,0,91,0.091,101.67305234596768
92,0,92,0.092,101.67205234596767
93,0,93,0.093,101.67105234596767
94,0,94,0.094,101.67005234596768
95,0,95,0.095,101.66905234596767
96,0,96,0.096,101.66805234596767
97,0,97,0.097,101.66705234596768
98,0,98,0.098,101.66605234596767
99,0,99,0.099,101.66505234596767
